problem_id,condition,group,correct,parsed_answer,truth,bin,op_type,response,clean_response,n_clean_tokens,n_gen_tokens,n_full_tokens,answer_token_idx,filename,has_trajectory,issues,contaminated
0,direct,G1,False,2,6,UltraSmall,A," (2 * 2)
",2,1,6,6,0,000_direct.npy,True,,False
0,cot,G3,False,2,6,UltraSmall,A," (2 * 2) + 2 is (2 * 2) + 2. ANSWER: (2 * 2) + 2

Question:", (2 * 2) + 2 is (2 * 2) + 2. ANSWER: (2 * 2) + 2,29,31,31,28,000_cot.npy,True,,False
1,direct,G1,False,5,19,UltraSmall,B," (5 * 4)
",5,1,6,6,0,001_direct.npy,True,,False
1,cot,G3,False,1,19,UltraSmall,B," (5 * 4) - 1 is (5 * 4) - 1. ANSWER: (5 * 4) - 1

Question:", (5 * 4) - 1 is (5 * 4) - 1. ANSWER: (5 * 4) - 1,29,31,31,28,001_cot.npy,True,,False
2,direct,G1,False,8,3,UltraSmall,C," 8
",8,2,2,2,1,002_direct.npy,True,,False
2,cot,G4,True,3,3,UltraSmall,C," 1 plus 2 is 3. ANSWER: 3

Question:", 1 plus 2 is 3. ANSWER: 3,13,15,15,12,002_cot.npy,True,,False
3,direct,G1,False,8,3,UltraSmall,D," 8
",8,2,2,2,1,003_direct.npy,True,,False
3,cot,G3,False,8,3,UltraSmall,D," 1 * (5 - 2) is 8. ANSWER: 8

Question:", 1 * (5 - 2) is 8. ANSWER: 8,17,19,19,16,003_cot.npy,True,,False
4,direct,G1,False,5,22,UltraSmall,A," (5 * 4)
",5,1,6,6,0,004_direct.npy,True,,False
4,cot,G3,False,2,22,UltraSmall,A," (5 * 4) plus 2 is (5 * 4) + 2. ANSWER: (5 * 4) + 2

Question:", (5 * 4) plus 2 is (5 * 4) + 2. ANSWER: (5 * 4) + 2,29,31,31,28,004_cot.npy,True,,False
5,direct,G1,False,8,17,UltraSmall,B," (8 * 9)
",8,1,6,6,0,005_direct.npy,True,,False
5,cot,G3,False,3,17,UltraSmall,B," (4 * 5) minus 3 is (4 * 5) - 3. ANSWER: (4 * 5) - 3

Question:", (4 * 5) minus 3 is (4 * 5) - 3. ANSWER: (4 * 5) - 3,29,31,31,28,005_cot.npy,True,,False
6,direct,G1,False,8,6,UltraSmall,C," 8
",8,2,2,2,1,006_direct.npy,True,,False
6,cot,G3,False,8,6,UltraSmall,C," 1 * (2 + 4) is 8. ANSWER: 8

Question:", 1 * (2 + 4) is 8. ANSWER: 8,17,19,19,16,006_cot.npy,True,,False
7,direct,G1,False,8,3,UltraSmall,D," 8
",8,2,2,2,1,007_direct.npy,True,,False
7,cot,G3,False,1,3,UltraSmall,D," 1 * (4 - 1) is 1. ANSWER: 1

Question:", 1 * (4 - 1) is 1. ANSWER: 1,17,19,19,16,007_cot.npy,True,,False
8,direct,G1,False,7,14,UltraSmall,A," (7 * 7)
",7,1,6,6,0,008_direct.npy,True,,False
8,cot,G3,False,5,14,UltraSmall,A," (3 * 3) + 5 is (3 * 3) + 5. ANSWER: (3 * 3) + 5

Question:", (3 * 3) + 5 is (3 * 3) + 5. ANSWER: (3 * 3) + 5,29,31,31,28,008_cot.npy,True,,False
9,direct,G1,False,5,10,UltraSmall,B," (5 * 3)
",5,1,6,6,0,009_direct.npy,True,,False
9,cot,G3,False,5,10,UltraSmall,B," (5 * 3) - 5 is (5 * 3) - 5. ANSWER: (5 * 3) - 5

Question:", (5 * 3) - 5 is (5 * 3) - 5. ANSWER: (5 * 3) - 5,29,31,31,28,009_cot.npy,True,,False
10,direct,G2,True,8,8,UltraSmall,C," 8
",8,2,2,2,1,010_direct.npy,True,,False
10,cot,G3,False,7,8,UltraSmall,C," 2 * (3 + 1) is 7. ANSWER: 7

Question:", 2 * (3 + 1) is 7. ANSWER: 7,17,19,19,16,010_cot.npy,True,,False
11,direct,G1,False,8,-6,UltraSmall,D," 8
",8,2,2,2,1,011_direct.npy,True,,False
11,cot,G3,False,8,-6,UltraSmall,D," 2 * (1 - 4) is 8. ANSWER: 8

Question:", 2 * (1 - 4) is 8. ANSWER: 8,17,19,19,16,011_cot.npy,True,,False
12,direct,G1,False,7,15,UltraSmall,A," (7 * 8)
",7,1,6,6,0,012_direct.npy,True,,False
12,cot,G3,False,3,15,UltraSmall,A," (3 * 4) + 3 is (3 + 4) + 3. ANSWER: (3 + 4) + 3

Question:", (3 * 4) + 3 is (3 + 4) + 3. ANSWER: (3 + 4) + 3,29,31,31,28,012_cot.npy,True,,False
13,direct,G1,False,2,5,UltraSmall,B," (2 * 3)
",2,1,6,6,0,013_direct.npy,True,,False
13,cot,G3,False,1,5,UltraSmall,B," (2 * 3) - 1 is (2 * 3) - 1. ANSWER: (2 * 3) - 1

Question:", (2 * 3) - 1 is (2 * 3) - 1. ANSWER: (2 * 3) - 1,29,31,31,28,013_cot.npy,True,,False
14,direct,G1,False,8,35,UltraSmall,C," 8
",8,2,2,2,1,014_direct.npy,True,,False
14,cot,G3,False,8,35,UltraSmall,C," 5 * (2 + 5) is 8. ANSWER: 8

Question:", 5 * (2 + 5) is 8. ANSWER: 8,17,19,19,16,014_cot.npy,True,,False
15,direct,G1,False,8,-4,UltraSmall,D," 8
",8,2,2,2,1,015_direct.npy,True,,False
15,cot,G3,False,8,-4,UltraSmall,D," 2 * (2 - 4) is 8. ANSWER: 8

Question:", 2 * (2 - 4) is 8. ANSWER: 8,17,19,19,16,015_cot.npy,True,,False
16,direct,G1,False,8,17,UltraSmall,A," (8 * 4)
",8,1,6,6,0,016_direct.npy,True,,False
16,cot,G3,False,5,17,UltraSmall,A," (4 * 3) plus 5 is (4 * 3) + 5. ANSWER: 5

Question:", (4 * 3) plus 5 is (4 * 3) + 5. ANSWER: 5,23,25,25,22,016_cot.npy,True,,False
17,direct,G1,False,2,5,UltraSmall,B," (2 * 3)
",2,1,6,6,0,017_direct.npy,True,,False
17,cot,G3,False,1,5,UltraSmall,B," (2 * 3) - 1 is (2 * 3) - 1. ANSWER: (2 * 3) - 1

Question:", (2 * 3) - 1 is (2 * 3) - 1. ANSWER: (2 * 3) - 1,29,31,31,28,017_cot.npy,True,,False
18,direct,G2,True,8,8,UltraSmall,C," 8
",8,2,2,2,1,018_direct.npy,True,,False
18,cot,G4,True,8,8,UltraSmall,C," 2 * (1 + 3) is 8. ANSWER: 8

Question:", 2 * (1 + 3) is 8. ANSWER: 8,17,19,19,16,018_cot.npy,True,,False
