problem_id,condition,ground_truth,correct
0,direct,388,True
0,cot,388,True
1,direct,2160,True
1,cot,2160,True
2,direct,141,True
2,cot,141,True
3,direct,760,True
3,cot,760,True
4,direct,-544,True
4,cot,-544,True
5,direct,-4136,False
5,cot,-4136,False
6,direct,225,False
6,cot,225,True
7,direct,529,True
7,cot,529,True
8,direct,625,False
8,cot,625,True
9,direct,-1376,True
9,cot,-1376,False
10,direct,888,True
10,cot,888,True
11,direct,3564,False
11,cot,3564,True
12,direct,713,False
12,cot,713,True
13,direct,373,True
13,cot,373,True
14,direct,583,True
14,cot,583,True
15,direct,487,False
15,cot,487,True
16,direct,169,False
16,cot,169,True
17,direct,-1701,True
17,cot,-1701,True
18,direct,50,False
18,cot,50,True
19,direct,4230,True
19,cot,4230,True
20,direct,190,True
20,cot,190,True
21,direct,1152,True
21,cot,1152,True
22,direct,3120,False
22,cot,3120,True
23,direct,-612,True
23,cot,-612,True
24,direct,-1496,False
24,cot,-1496,True
25,direct,-2050,False
25,cot,-2050,False
26,direct,1892,True
26,cot,1892,True
27,direct,3116,True
27,cot,3116,True
28,direct,2496,False
28,cot,2496,True
29,direct,-1161,True
29,cot,-1161,False
30,direct,469,False
30,cot,469,True
31,direct,100,False
31,cot,100,True
32,direct,6,True
32,cot,6,True
33,direct,99,False
33,cot,99,True
34,direct,263,False
34,cot,263,True
35,direct,721,True
35,cot,721,True
36,direct,268,False
36,cot,268,True
37,direct,573,True
37,cot,573,True
38,direct,250,False
38,cot,250,True
39,direct,-2886,False
39,cot,-2886,False
40,direct,769,False
40,cot,769,True
41,direct,218,False
41,cot,218,True
42,direct,360,True
42,cot,360,True
43,direct,730,True
43,cot,730,True
44,direct,475,True
44,cot,475,True
45,direct,337,True
45,cot,337,True
46,direct,2016,True
46,cot,2016,True
47,direct,44,True
47,cot,44,True
48,direct,1364,True
48,cot,1364,True
49,direct,40,False
49,cot,40,True
50,direct,1408,True
50,cot,1408,True
51,direct,572,True
51,cot,572,True
52,direct,407,True
52,cot,407,True
53,direct,-2257,True
53,cot,-2257,False
54,direct,179,False
54,cot,179,True
55,direct,254,False
55,cot,254,True
56,direct,438,True
56,cot,438,True
57,direct,1025,True
57,cot,1025,True
58,direct,-1323,True
58,cot,-1323,True
59,direct,313,False
59,cot,313,True
60,direct,999,True
60,cot,999,True
61,direct,758,False
61,cot,758,True
62,direct,748,False
62,cot,748,True
63,direct,178,False
63,cot,178,True
64,direct,1333,True
64,cot,1333,True
65,direct,321,True
65,cot,321,True
66,direct,633,True
66,cot,633,True
67,direct,302,False
67,cot,302,True
68,direct,-1771,True
68,cot,-1771,True
69,direct,1978,True
69,cot,1978,True
70,direct,432,True
70,cot,432,True
71,direct,2013,False
71,cot,2013,True
72,direct,-2350,True
72,cot,-2350,False
73,direct,-1032,True
73,cot,-1032,False
74,direct,485,False
74,cot,485,True
75,direct,0,False
75,cot,0,True
76,direct,-1920,False
76,cot,-1920,False
77,direct,389,False
77,cot,389,True
78,direct,0,True
78,cot,0,True
79,direct,317,False
79,cot,317,True
80,direct,548,False
80,cot,548,True
81,direct,137,True
81,cot,137,True
82,direct,219,False
82,cot,219,True
83,direct,973,False
83,cot,973,True
84,direct,400,False
84,cot,400,True
85,direct,-22,True
85,cot,-22,True
86,direct,1152,True
86,cot,1152,True
87,direct,499,False
87,cot,499,False
88,direct,-952,True
88,cot,-952,False
89,direct,663,True
89,cot,663,True
90,direct,-2700,True
90,cot,-2700,False
91,direct,300,True
91,cot,300,True
92,direct,-1392,False
92,cot,-1392,True
93,direct,1356,True
93,cot,1356,True
94,direct,401,False
94,cot,401,True
95,direct,440,True
95,cot,440,True
96,direct,344,True
96,cot,344,True
97,direct,1947,True
97,cot,1947,True
98,direct,112,False
98,cot,112,True
99,direct,1728,True
99,cot,1728,True
100,direct,1900,True
